date,open,high,low,close,volume,pct_chg
2006-03-09,1166.01,1169.29,1148.23,1150.68,67.73,-1.76
2006-03-10,1150.97,1161.96,1150.97,1155.83,61.54,0.45
2006-03-13,1154.74,1173.9,1154.74,1172.91,66.34,1.48
2006-03-14,1181.36,1201.95,1178.96,1201.95,100.22,2.48
2006-03-15,1202.29,1211.42,1200.53,1210.17,101.98,0.69
2006-03-16,1207.91,1234.06,1207.91,1221.78,106.54,0.96
2006-03-17,1219.6,1219.6,1203.09,1209.17,89.7,-1.03
2006-03-20,1210.41,1221.06,1203.98,1220.59,75.78,0.94
2006-03-21,1220.15,1229.16,1219.16,1226.67,78.17,0.5
2006-03-22,1226.34,1238.69,1224.4,1238.38,77.03,0.96
2006-03-23,1237.87,1257.2,1237.27,1256.53,91.74,1.47
2006-03-24,1259.2,1276.63,1251.45,1265.38,123.55,0.71
2006-03-27,1265.51,1279.76,1265.13,1279.5,61.67,1.12
2006-03-28,1280.06,1293.18,1278.47,1292.1,80.06,0.99
2006-03-29,1291.79,1296.05,1287.13,1287.91,76.77,-0.32
2006-03-30,1286.43,1287.27,1276.85,1277.37,60.4,-0.82
2006-03-31,1272.9,1285.66,1272.34,1285.14,52.72,0.61
2006-04-03,1287.07,1319.81,1287.07,1319.81,67.39,2.7
2006-04-04,1321.28,1330.27,1318.31,1328.07,77.81,0.63
2006-04-05,1327.63,1345.72,1326.88,1344.17,93.23,1.21
2006-04-06,1356.51,1372.83,1356.51,1358.97,109.94,1.1
2006-04-07,1380.99,1397.21,1372.58,1387.17,186.63,2.08
2006-04-10,1397.47,1427.03,1397.47,1427.03,126.58,2.87
2006-04-11,1435.19,1448.67,1425.65,1446.72,139.87,1.38
2006-04-12,1450.59,1465.65,1441.96,1457.34,170.94,0.73
2006-04-13,1458.3,1464.9,1408.69,1409.16,157.63,-3.31
2006-04-14,1403.48,1445.58,1396.38,1443.54,120.24,2.44
2006-04-17,1438.62,1454.38,1432.89,1439.53,109.95,-0.28
2006-04-18,1439.06,1455.99,1431.44,1455.99,100.76,1.14
2006-04-19,1454.37,1486.72,1454.37,1486.72,108.85,2.11
2006-04-20,1487.22,1487.31,1470.93,1480.74,126.75,-0.4
2006-04-21,1479.92,1522.62,1479.92,1519.08,156.21,2.59
2006-04-24,1534.58,1534.58,1513.58,1519.9,146.49,0.05
2006-04-25,1532.01,1555.1,1515.12,1544.22,148.61,1.6
2006-04-26,1546.21,1604.37,1546.21,1589.4,157.28,2.93
2006-04-27,1604.34,1633.94,1601.11,1627.4,149.96,2.39
2006-04-28,1595.65,1688.41,1595.65,1688.41,161.4,3.75
2006-05-08,1693.19,1760.43,1693.19,1757.62,138.56,4.1
2006-05-09,1798.95,1861.56,1798.95,1861.56,206.44,5.91
2006-05-10,1893.4,1920.93,1872.4,1911.9,190.79,2.7
2006-05-11,1954.82,1999.51,1933.69,1933.69,234.03,1.14
2006-05-12,1945.44,2034.43,1945.44,2034.37,237.87,5.21
2006-05-15,2072.54,2136.61,2072.54,2136.03,232.02,5.0
2006-05-16,2248.49,2248.49,2091.46,2101.8,314.76,-1.6
2006-05-17,2087.78,2143.62,2070.07,2128.73,251.05,1.28
2006-05-18,2140.65,2193.96,2132.93,2178.03,225.29,2.32
2006-05-19,2196.55,2265.94,2188.02,2260.29,224.57,3.78
2006-05-22,2279.07,2279.07,2222.74,2222.74,246.3,-1.66
2006-05-23,2220.01,2220.01,2086.03,2088.7,234.49,-6.03
2006-05-24,2084.39,2108.18,2002.04,2058.44,228.46,-1.45
2006-05-25,2033.65,2068.03,2022.21,2055.46,124.81,-0.15
2006-05-26,2058.94,2124.89,2047.57,2122.63,163.83,3.27
2006-05-29,2133.42,2164.13,2112.55,2162.65,148.27,1.89
2006-05-30,2184.03,2258.77,2177.21,2253.73,197.42,4.21
2006-05-31,2280.0,2379.28,2280.0,2365.97,275.35,4.98
2006-06-01,2394.02,2526.17,2394.02,2523.28,270.55,6.65
2006-06-02,2584.43,2596.8,2475.8,2497.34,391.04,-1.03
2006-06-05,2484.46,2496.5,2353.84,2410.56,315.6,-3.48
2006-06-06,2394.79,2414.03,2353.52,2387.88,216.37,-0.94
2006-06-07,2381.56,2381.56,2201.82,2208.04,212.23,-7.53
2006-06-08,2184.28,2235.8,2110.22,2235.8,202.39,1.26
2006-06-09,2217.45,2305.58,2217.45,2253.05,231.42,0.77
2006-06-12,2231.64,2274.74,2230.7,2239.1,120.97,-0.62
2006-06-13,2236.03,2273.39,2224.63,2243.93,131.27,0.22
2006-06-14,2225.43,2260.42,2204.38,2260.42,154.09,0.74
2006-06-15,2258.51,2304.61,2258.51,2275.32,148.15,0.66
2006-06-16,2303.51,2333.35,2300.22,2332.61,127.0,2.52
2006-06-19,2317.26,2373.87,2317.26,2361.02,123.66,1.22
2006-06-20,2355.7,2419.85,2355.7,2417.85,171.56,2.41
2006-06-21,2423.97,2427.42,2389.93,2391.14,162.29,-1.11
2006-06-22,2382.25,2409.22,2379.87,2391.51,121.48,0.02
2006-06-23,2387.26,2417.73,2373.46,2417.73,113.14,1.1
2006-06-26,2426.15,2465.24,2419.64,2425.31,182.61,0.31
2006-06-27,2433.53,2450.94,2426.67,2448.67,185.64,0.96
2006-06-28,2445.84,2461.01,2427.17,2427.45,126.04,-0.87
2006-06-29,2454.69,2461.87,2430.18,2450.51,225.53,0.95
2006-06-30,2449.48,2467.2,2422.5,2443.44,171.29,-0.29
2006-07-03,2439.69,2439.69,2415.93,2428.57,169.15,-0.61
2006-07-04,2433.41,2460.52,2427.4,2460.52,187.13,1.32
2006-07-05,2461.72,2480.2,2427.4,2467.48,184.55,0.28
2006-07-06,2467.94,2611.97,2467.94,2607.2,247.69,5.66
2006-07-07,2634.61,2634.61,2586.65,2600.38,214.49,-0.26
2006-07-10,2597.47,2600.37,2565.43,2577.49,149.01,-0.88
2006-07-11,2572.08,2622.76,2569.63,2622.76,180.04,1.76
2006-07-12,2635.75,2671.73,2635.75,2648.03,205.58,0.96
2006-07-13,2635.98,2635.98,2419.64,2423.25,290.56,-8.49
2006-07-14,2372.48,2448.22,2372.48,2433.93,193.46,0.44
2006-07-17,2422.83,2476.75,2422.83,2465.68,159.45,1.3
2006-07-18,2459.45,2459.45,2415.4,2451.01,130.1,-0.6
2006-07-19,2448.79,2448.79,2340.32,2359.7,155.94,-3.73
2006-07-20,2355.79,2374.94,2336.19,2363.93,136.4,0.18
2006-07-21,2361.29,2373.28,2346.15,2347.37,106.51,-0.7
2006-07-24,2314.35,2370.55,2314.35,2368.89,102.47,0.92
2006-07-25,2380.07,2419.82,2380.07,2411.41,112.07,1.8
