exchange,code,name,full_name,short_name,company_full_name,list_date,board
SH,600114,东睦股份,东睦股份,东睦股份,东睦新材料集团股份有限公司,2004-05-11,主板
SH,600115,中国东航,中国东航,中国东航,中国东方航空股份有限公司,1997-11-05,主板
SH,600116,三峡水利,三峡水利,三峡水利,重庆三峡水利电力(集团)股份有限公司,1997-08-04,主板
SH,600117,西宁特钢,西宁特钢,西宁特钢,西宁特殊钢股份有限公司,1997-10-15,主板
SH,600118,中国卫星,中国卫星,中国卫星,中国东方红卫星股份有限公司,1997-09-08,主板
SH,600119,*ST长投,*ST长投,*ST长投,长发集团长江投资实业股份有限公司,1998-01-15,主板
SH,600120,浙江东方,浙江东方,浙江东方,浙江东方控股集团股份有限公司,1997-12-01,主板
SH,600121,郑州煤电,郑州煤电,郑州煤电,郑州煤电股份有限公司,1998-01-07,主板
SH,600123,兰花科创,兰花科创,兰花科创,山西兰花科技创业股份有限公司,1998-12-17,主板
SH,600125,铁龙物流,铁龙物流,铁龙物流,中铁铁龙集装箱物流股份有限公司,1998-05-11,主板
SH,600126,杭钢股份,杭钢股份,杭钢股份,杭州钢铁股份有限公司,1998-03-11,主板
SH,600127,金健米业,金健米业,金健米业,金健米业股份有限公司,1998-05-06,主板
SH,600128,苏豪弘业,苏豪弘业,苏豪弘业,苏豪弘业股份有限公司,1997-09-01,主板
SH,600129,太极集团,太极集团,太极集团,重庆太极实业(集团)股份有限公司,1997-11-18,主板
SH,600130,波导股份,波导股份,波导股份,宁波波导股份有限公司,2000-07-06,主板
SH,600131,国网信通,国网信通,国网信通,国网信息通信股份有限公司,1998-04-02,主板
SH,600132,重庆啤酒,重庆啤酒,重庆啤酒,重庆啤酒股份有限公司,1997-10-30,主板
SH,600133,东湖高新,东湖高新,东湖高新,武汉东湖高新集团股份有限公司,1998-02-12,主板
SH,600135,乐凯胶片,乐凯胶片,乐凯胶片,乐凯胶片股份有限公司,1998-01-22,主板
