status,exchange,code,name,list_date,delist_date
退市,SZ,300064,金刚退,2010-03-26,2022-06-27
退市,SZ,300089,文化退,2010-06-25,2023-07-13
退市,SZ,300090,盛运退,2010-06-25,2020-08-25
退市,SZ,300104,乐视退,2010-08-12,2020-07-21
退市,SZ,300108,*ST吉药,2010-08-25,2025-05-29
退市,SZ,300116,*ST保力,2010-09-02,2024-07-25
退市,SZ,300117,*ST嘉寓,2010-09-02,2025-04-30
退市,SZ,300156,神雾退,2011-01-07,2020-08-25
退市,SZ,300178,腾邦退,2011-02-15,2022-06-22
退市,SZ,300186,大华农,2011-03-08,2015-11-02
退市,SZ,300202,聚龙退,2011-04-15,2022-07-04
退市,SZ,300208,中程退,2011-04-26,2025-07-21
退市,SZ,300216,千山退,2011-05-11,2020-09-16
退市,SZ,300262,*ST巴安,2011-09-16,2024-08-19
退市,SZ,300273,和佳退,2011-10-26,2023-07-06
退市,SZ,300280,紫天退,2011-12-29,2025-10-14
退市,SZ,300282,三盛退,2011-12-29,2024-07-18
退市,SZ,300297,蓝盾退,2012-03-15,2023-07-31
退市,SZ,300309,吉艾退,2012-04-10,2023-05-30
退市,SZ,300312,邦讯退,2012-05-08,2022-07-04
退市,SZ,300325,德威退,2012-06-01,2022-06-28
退市,SZ,300330,计通退,2012-06-19,2023-05-24
退市,SZ,300336,新文退,2012-07-10,2023-07-05
退市,SZ,300344,立方退,2012-08-01,2026-04-22
退市,SZ,300356,光一退,2012-10-09,2023-07-13
退市,SZ,300362,天翔退,2014-01-21,2021-08-30
退市,SZ,300367,网力退,2014-01-29,2022-06-30
退市,SZ,300372,欣泰退,2014-01-27,2017-08-28
退市,SZ,300379,东通退,2014-01-28,2026-01-22
退市,SZ,300391,长药退,2014-08-01,2026-04-13
退市,SZ,300392,腾信退,2014-09-10,2023-07-10
退市,SZ,300431,暴风退,2015-03-24,2020-11-10
退市,SZ,300495,*ST美尚,2015-12-22,2024-09-20
退市,SZ,300526,中潜退,2016-08-02,2023-07-12
退市,SZ,300630,普利退,2017-03-28,2025-05-22
退市,SZ,300742,越博退,2018-05-08,2024-07-22
退市,SZ,300799,左江退,2019-10-29,2024-07-29
