exchange,code,name,list_date,delist_date,status
SZ,300089,文化退,2010-06-25,2023-07-13,退市
SZ,300090,盛运退,2010-06-25,2020-08-25,退市
SZ,300104,乐视退,2010-08-12,2020-07-21,退市
SZ,300108,*ST吉药,2010-08-25,2025-05-29,退市
SZ,300116,*ST保力,2010-09-02,2024-07-25,退市
SZ,300117,*ST嘉寓,2010-09-02,2025-04-30,退市
SZ,300156,神雾退,2011-01-07,2020-08-25,退市
SZ,300178,腾邦退,2011-02-15,2022-06-22,退市
SZ,300186,大华农,2011-03-08,2015-11-02,退市
SZ,300202,聚龙退,2011-04-15,2022-07-04,退市
SZ,300208,中程退,2011-04-26,2025-07-21,退市
SZ,300216,千山退,2011-05-11,2020-09-16,退市
SZ,300262,*ST巴安,2011-09-16,2024-08-19,退市
SZ,300273,和佳退,2011-10-26,2023-07-06,退市
SZ,300280,紫天退,2011-12-29,2025-10-14,退市
SZ,300282,三盛退,2011-12-29,2024-07-18,退市
SZ,300297,蓝盾退,2012-03-15,2023-07-31,退市
SZ,300309,吉艾退,2012-04-10,2023-05-30,退市
SZ,300312,邦讯退,2012-05-08,2022-07-04,退市
SZ,300325,德威退,2012-06-01,2022-06-28,退市
SZ,300330,计通退,2012-06-19,2023-05-24,退市
SZ,300336,新文退,2012-07-10,2023-07-05,退市
SZ,300344,立方退,2012-08-01,2026-04-22,退市
SZ,300356,光一退,2012-10-09,2023-07-13,退市
SZ,300362,天翔退,2014-01-21,2021-08-30,退市
SZ,300367,网力退,2014-01-29,2022-06-30,退市
SZ,300372,欣泰退,2014-01-27,2017-08-28,退市
SZ,300379,东通退,2014-01-28,2026-01-22,退市
SZ,300391,长药退,2014-08-01,2026-04-13,退市
SZ,300392,腾信退,2014-09-10,2023-07-10,退市
SZ,300431,暴风退,2015-03-24,2020-11-10,退市
SZ,300495,*ST美尚,2015-12-22,2024-09-20,退市
SZ,300526,中潜退,2016-08-02,2023-07-12,退市
SZ,300630,普利退,2017-03-28,2025-05-22,退市
SZ,300742,越博退,2018-05-08,2024-07-22,退市
SZ,300799,左江退,2019-10-29,2024-07-29,退市
SH,600001,邯郸钢铁,19980122,20091229,退市
SH,600002,齐鲁退市,19980408,20060424,退市
SH,600003,ST东北高,19990810,20100226,退市
SH,600005,武钢股份,19990803,20170214,退市
SH,600065,*ST联 谊,19970523,20071213,退市
SH,600068,葛洲坝,19970526,20210913,退市
SH,600069,退市银鸽,19970430,20200828,退市
SH,600070,*ST富润,19970604,20250430,退市
SH,600074,退市保千,19970623,20200603,退市
SH,600077,*ST宋都,19970520,20230725,退市
SH,600083,*ST博信,19970606,20250305,退市
SH,600086,退市金钰,19970606,20210318,退市
SH,600087,退市长油,19970612,20140605,退市
SH,600090,退市济堂,19970616,20220707,退市
SH,600091,退市明科,19970704,20220621,退市
SH,600092,*ST精 密,19970626,20061130,退市
SH,600093,退市易见,19970626,20220623,退市
SH,600102,莱钢股份,19970828,20120228,退市
SH,600112,*ST天成,19971127,20240815,退市
SH,600122,*ST宏图,19980420,20230626,退市
SH,600139,*ST西源,19980225,20230327,退市
SH,600145,退市新亿,19990923,20220428,退市
SH,600146,退市环球,19990707,20220630,退市
SH,600175,退市美都,19990408,20200817,退市
SH,600181,*ST云 大,19980928,20070601,退市
SH,600190,退市锦港,19990609,20250728,退市
SH,600190,退市锦港,19980519,20250728,退市
SH,600200,退市苏吴,19990401,20251231,退市
SH,600205,S山东铝,19990630,20070430,退市
SH,600209,退市罗顿,19990325,20220622,退市
SH,600213,*ST亚星,19990831,20241017,退市
SH,600220,ST阳光,19990927,20240710,退市
SH,600225,退市卓朗,20000127,20250306,退市
SH,600240,退市华业,20000628,20200206,退市
SH,600242,退市中昌,20001207,20230629,退市
SH,600247,*ST成城,20001123,20210322,退市
SH,600253,天方药业,20001227,20130715,退市
SH,600260,*ST凯乐,20000706,20230215,退市
SH,600263,路桥建设,20000725,20120301,退市
SH,600270,外运发展,20001228,20181228,退市
SH,600275,退市昌鱼,20000810,20220622,退市
SH,600277,ST亿利,20000725,20240718,退市
SH,600286,*ST国 瓷,19991209,20070531,退市
SH,600290,*ST华仪,20001106,20240116,退市
SH,600291,退市西水,20000731,20220614,退市
SH,600296,S兰铝,20000719,20070430,退市
SH,600297,广汇汽车,20001116,20240828,退市
SH,600306,退市商城,20001226,20240626,退市
SH,600311,*ST荣华,20010626,20230327,退市
SH,600317,营口港,20020131,20210129,退市
SH,600321,正源股份,20010524,20240627,退市
SH,600355,*ST精伦,20020613,20260427,退市
SH,600357,承德钒钛,20020906,20091229,退市
SH,600385,退市金泰,20010723,20220707,退市
SH,600387,退市海越,20040218,20250711,退市
SH,600393,ST粤泰,20010319,20230718,退市
SH,600401,退市海润,20030924,20190715,退市
SH,600432,退市吉恩,20030905,20180713,退市
SH,600462,退市九有,20030903,20250721,退市
SH,600466,*ST蓝光,20010212,20230606,退市
SH,600472,包头铝业,20050509,20071226,退市
SH,600485,*ST信威,20030807,20210601,退市
SH,600532,退市未来,20021031,20230628,退市
SH,600553,太行水泥,20020822,20110218,退市
SH,600555,退市海创,20010328,20220714,退市
SH,600555,退市海创,19990118,20220714,退市
SH,600565,ST迪马,20020723,20240807,退市
SH,600591,*ST上航,20021011,20100125,退市
SH,600607,上实医药,19920327,20100212,退市
SH,600614,退市鹏起,19920728,20210722,退市
SH,600614,退市鹏起,19920828,20210722,退市
SH,600625,PT水  仙,19930106,20010425,退市
SH,600625,PT水  仙,19941110,20010425,退市
SH,600627,上电股份,19930118,20081126,退市
SH,600631,百联股份,19930219,20110823,退市
SH,600632,华联商厦,19930219,20041118,退市
SH,600634,退市富控,19930304,20210722,退市
SH,600646,ST国  嘉,19930504,20030923,退市
SH,600647,退市同达,19930504,20240703,退市
SH,600652,退市游久,19901219,20220621,退市
SH,600656,退市博元,19901219,20160513,退市
SH,600659,*ST花 雕,19930528,20060323,退市
SH,600669,*ST鞍 成,19930806,20040915,退市
SH,600670,*ST斯 达,19930809,20040924,退市
SH,600672,*ST华 圣,19930917,20050805,退市
SH,600677,*ST航通,19930928,20210318,退市
SH,600680,*ST上普,19931018,20190524,退市
SH,600680,*ST上普,19941020,20190524,退市
SH,600687,退市刚泰,19931108,20210304,退市
SH,600695,退市绿庭,19931122,20220615,退市
SH,600695,退市绿庭,19931215,20220615,退市
SH,600700,*ST数 码,19960430,20050920,退市
SH,600701,退市工新,19960528,20210506,退市
SH,600705,中航产融,19960516,20250527,退市
SH,600709,ST生  态,19960618,20030526,退市
SH,600723,首商股份,19960716,20211022,退市
SH,600747,退市大控,19960916,20191213,退市
SH,600752,*ST哈 慈,19960925,20050922,退市
SH,600762,*ST金 荔,19961025,20071120,退市
SH,600766,退市园城,19961028,20240703,退市
SH,600767,退市运盛,19961115,20230629,退市
SH,600772,*ST龙 昌,19961104,20061130,退市
SH,600781,退市辅仁,19961218,20230628,退市
SH,600786,东锅退市,19961227,20080324,退市
SH,600788,*ST达 曼,19961230,20050325,退市
SH,600799,*ST龙 科,19970416,20060104,退市
SH,600804,退市鹏博,19940103,20250703,退市
SH,600806,退市昆机,19940103,20180713,退市
SH,600811,*ST东方,19940106,20250430,退市
SH,600813,ST鞍一工,19940114,20020916,退市
SH,600823,*ST世茂,19940204,20240614,退市
SH,600832,东方明珠,19940224,20150520,退市
SH,600836,*ST易连,19940224,20240711,退市
SH,600837,海通证券,19940224,20250304,退市
SH,600840,新湖创业,19940311,20090827,退市
SH,600842,中西药业,19940311,20100212,退市
SH,600852,*ST中 川,19940404,20050916,退市
SH,600856,退市中天,19940425,20220622,退市
SH,600870,退市厦华,19950228,20220630,退市
SH,600878,*ST北 科,19951013,20040915,退市
SH,600890,退市中房,19960318,20220621,退市
SH,600891,退市秋林,19960325,20210512,退市
SH,600896,退市海医,19960503,20220725,退市
SH,600898,*ST美讯,19960418,20250210,退市
SH,600899,*ST信 联,19960426,20050921,退市
SH,600978,*ST宜生,20040824,20210322,退市
SH,600991,广汽长丰,20040614,20120320,退市
SH,601028,玉龙股份,20111107,20250527,退市
SH,601258,*ST庞大,20110428,20230630,退市
SH,601268,*ST二重,20100202,20150521,退市
SH,601299,中国北车,20091229,20150520,退市
SH,601558,退市锐电,20110113,20200703,退市
SH,601989,中国重工,20091216,20250905,退市
SH,603003,退市龙宇,20120817,20250703,退市
SH,603056,德邦股份,20180116,20260331,退市
SH,603133,退市碳元,20170320,20240703,退市
SH,603157,退市拉夏,20170925,20220524,退市
