exchange,code,name,status,list_date,delist_date,industry,province
SH,601558,退市锐电,退市,20110113,20200703,制造业,北京市
SH,601989,中国重工,退市,20091216,20250905,制造业,北京市
SH,603003,退市龙宇,退市,20120817,20250703,批发和零售业,上海市
SH,603056,德邦股份,退市,20180116,20260331,交通运输、仓储和邮政业,上海市
SH,603133,退市碳元,退市,20170320,20240703,制造业,江苏省
SH,603157,退市拉夏,退市,20170925,20220524,制造业,新疆维吾尔自治区
SH,603388,*ST元成,退市,20170324,20251205,建筑业,浙江省
SH,603555,ST贵人,退市,20140124,20240329,制造业,福建省
SH,603603,退市博天,退市,20170217,20240425,水利、环境和公共设施管理业,北京市
SH,603963,*ST大药,退市,20170922,20250321,制造业,云南省
SH,603996,退市中新,退市,20151222,20220524,制造业,浙江省
SH,688086,退市紫晶,退市,20200226,20230707,制造业,广东省
SH,688555,退市泽达,退市,20200623,20230707,信息传输、软件和信息技术服务业,天津市
SH,900935,阳晨Ｂ股,退市,19950727,20161216,电力、热力、燃气及水生产和供应业,上海市
SH,900949,东电Ｂ股,退市,19970923,20131107,电力、热力、燃气及水生产和供应业,浙江省
SH,900950,新城Ｂ股,退市,19971016,20151123,房地产业,江苏省
SH,900951,退市大化,退市,19971021,20200828,制造业,辽宁省
SH,900953,凯马Ｂ,退市,19980624,20240705,制造业,上海市
SH,900956,东贝Ｂ股,退市,19990715,20201123,制造业,湖北省
SH,900957,*ST凌云B,退市,20000728,20250704,电力、热力、燃气及水生产和供应业,上海市
